"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.026146676E0,2.382659912E1,-1.676483154E1,-4.545898438E1,5.399338536E1
4.046288278E0,2.292633057E1,-1.616363525E1,-4.261016846E1,5.101476447E1
4.066460397E0,2.352600098E1,-1.571502686E1,-4.380950928E1,5.215081873E1
4.086601998E0,2.322692871E1,-1.481475830E1,-4.261016846E1,5.074045464E1
4.106713082E0,2.262725830E1,-1.556396484E1,-4.335937500E1,5.132509348E1
4.126854684E0,2.412719727E1,-1.601409912E1,-4.411010742E1,5.276622590E1
4.147026803E0,2.382659912E1,-1.541442871E1,-4.411010742E1,5.245010024E1
4.167168405E0,2.352600098E1,-1.571502686E1,-4.380950928E1,5.215081873E1
4.187279489E0,2.292633057E1,-1.616363525E1,-4.395904541E1,5.214669128E1
4.207421090E0,2.427673340E1,-1.691436768E1,-4.395904541E1,5.298918089E1
4.227562692E0,2.442626953E1,-1.601409912E1,-4.245910645E1,5.153513107E1
4.247734811E0,2.187652588E1,-1.556396484E1,-4.230957031E1,5.010907229E1
4.267876412E0,2.292633057E1,-1.661376953E1,-4.365997314E1,5.203678724E1
4.287987496E0,2.382659912E1,-1.571502686E1,-4.380950928E1,5.228711120E1
4.308129098E0,2.442626953E1,-1.706390381E1,-4.515991211E1,5.410394734E1
4.328301217E0,2.352600098E1,-1.571502686E1,-4.485931396E1,5.303576944E1
4.348442819E0,2.382659912E1,-1.646423340E1,-4.380950928E1,5.251714872E1
4.368553903E0,2.532653809E1,-1.586456299E1,-4.470977783E1,5.377808219E1
4.388695504E0,2.277679443E1,-1.541442871E1,-4.305877686E1,5.109251649E1
4.408867623E0,2.397613525E1,-1.481475830E1,-4.395904541E1,5.221809838E1
4.429009225E0,2.427673340E1,-1.556396484E1,-4.395904541E1,5.257370502E1
4.449120309E0,2.382659912E1,-1.601409912E1,-4.305877686E1,5.175148752E1
4.469261910E0,2.292633057E1,-1.586456299E1,-4.290924072E1,5.117131942E1
4.489403512E0,2.142639160E1,-1.571502686E1,-4.216003418E1,4.983493562E1
4.509545114E0,2.052612305E1,-1.526489258E1,-4.261016846E1,4.969874373E1
4.529686715E0,2.427673340E1,-1.556396484E1,-4.395904541E1,5.257370502E1
4.549828317E0,2.172698975E1,-1.541442871E1,-4.245910645E1,5.012426973E1
4.569969918E0,2.067718506E1,-1.541442871E1,-4.080963135E1,4.827604587E1
4.590111520E0,2.187652588E1,-1.586456299E1,-4.185943604E1,4.982448322E1
4.610558297E0,2.022705078E1,-1.556396484E1,-4.050903320E1,4.787851664E1
4.630760934E0,2.292633057E1,-1.586456299E1,-4.230957031E1,5.066952469E1
4.650872018E0,2.397613525E1,-1.481475830E1,-4.020996094E1,4.910369725E1
4.671013619E0,2.247619629E1,-1.571502686E1,-4.245910645E1,5.054618867E1
4.691155221E0,2.142639160E1,-1.436462402E1,-4.305877686E1,5.019453102E1
4.711296823E0,2.067718506E1,-1.496429443E1,-4.216003418E1,4.928432379E1
4.731438424E0,2.262725830E1,-1.421508789E1,-4.395904541E1,5.144374807E1
4.751580026E0,2.187652588E1,-1.586456299E1,-4.335937500E1,5.109111609E1
4.771721627E0,2.172698975E1,-1.541442871E1,-4.216003418E1,4.987118585E1
4.791863229E0,2.232666016E1,-1.451416016E1,-4.095916748E1,4.885482575E1
4.812004830E0,2.367706299E1,-1.556396484E1,-4.261016846E1,5.117095631E1
4.832176949E0,2.292633057E1,-1.481475830E1,-4.185943604E1,4.997305356E1
4.852288033E0,2.397613525E1,-1.421508789E1,-4.290924072E1,5.116763357E1
4.872429635E0,2.322692871E1,-1.451416016E1,-4.230957031E1,5.040090081E1
4.892449166E0,2.322692871E1,-1.451416016E1,-4.335937500E1,5.128534355E1
4.912712838E0,2.487640381E1,-1.436462402E1,-4.305877686E1,5.176133841E1
4.932884957E0,2.382659912E1,-1.601409912E1,-4.350891113E1,5.212661071E1
4.952996041E0,2.262725830E1,-1.481475830E1,-4.185943604E1,4.983655553E1
