Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
5.60E+00,2.02E+01,-2.66E+00,-4.47E+01,4.91E+01
5.62E+00,1.87E+01,-2.81E+00,-4.41E+01,4.80E+01
5.64E+00,2.01E+01,-2.06E+00,-4.35E+01,4.80E+01
5.66E+00,1.83E+01,-3.11E+00,-4.38E+01,4.76E+01
5.68E+00,2.04E+01,-2.06E+00,-4.38E+01,4.84E+01
5.70E+00,1.96E+01,-2.81E+00,-4.38E+01,4.81E+01
5.72E+00,1.96E+01,-3.11E+00,-4.31E+01,4.74E+01
5.74E+00,2.04E+01,-2.06E+00,-4.44E+01,4.89E+01
5.76E+00,1.95E+01,-3.71E+00,-4.29E+01,4.73E+01
5.78E+00,1.83E+01,-3.11E+00,-4.38E+01,4.76E+01
5.80E+00,1.81E+01,-3.26E+00,-4.37E+01,4.74E+01
5.82E+00,1.93E+01,-4.46E+00,-4.35E+01,4.78E+01
5.84E+00,1.95E+01,-1.91E+00,-4.43E+01,4.84E+01
5.86E+00,2.01E+01,-3.41E+00,-4.35E+01,4.80E+01
5.88E+00,1.96E+01,-3.41E+00,-4.38E+01,4.81E+01
5.90E+00,2.04E+01,-3.41E+00,-4.41E+01,4.87E+01
5.92E+00,1.93E+01,-3.41E+00,-4.28E+01,4.70E+01
5.94E+00,1.81E+01,-1.31E+00,-4.40E+01,4.76E+01
5.96E+00,1.92E+01,-4.31E+00,-4.37E+01,4.79E+01
5.98E+00,1.95E+01,-3.26E+00,-4.43E+01,4.85E+01
6.00E+00,2.08E+01,-4.01E+00,-4.40E+01,4.88E+01
6.02E+00,1.99E+01,-4.31E+00,-4.34E+01,4.79E+01
6.04E+00,2.13E+01,-3.71E+00,-4.43E+01,4.92E+01
6.06E+00,2.04E+01,-3.41E+00,-4.44E+01,4.90E+01
6.08E+00,1.89E+01,-1.91E+00,-4.50E+01,4.88E+01
6.10E+00,1.93E+01,-3.87E+00,-4.38E+01,4.80E+01
6.12E+00,1.99E+01,-2.21E+00,-4.43E+01,4.86E+01
6.14E+00,1.99E+01,-3.26E+00,-4.53E+01,4.96E+01
6.16E+00,1.80E+01,-2.51E+00,-4.41E+01,4.77E+01
6.18E+00,1.99E+01,-2.21E+00,-4.40E+01,4.83E+01
6.20E+00,1.96E+01,-3.41E+00,-4.38E+01,4.81E+01
6.22E+00,1.87E+01,-4.16E+00,-4.41E+01,4.81E+01
6.24E+00,2.05E+01,-4.01E+00,-4.29E+01,4.77E+01
6.26E+00,1.92E+01,-3.26E+00,-4.34E+01,4.75E+01
6.29E+00,1.96E+01,-4.16E+00,-4.25E+01,4.70E+01
6.30E+00,1.89E+01,-2.96E+00,-4.40E+01,4.79E+01
6.32E+00,1.81E+01,-4.01E+00,-4.13E+01,4.52E+01
6.34E+00,1.81E+01,-4.01E+00,-4.40E+01,4.77E+01
6.36E+00,1.84E+01,-4.01E+00,-4.37E+01,4.76E+01
6.38E+00,1.80E+01,-1.76E+00,-4.22E+01,4.59E+01
6.40E+00,1.90E+01,-4.16E+00,-4.25E+01,4.67E+01
6.43E+00,1.87E+01,-3.41E+00,-4.28E+01,4.68E+01
6.45E+00,1.96E+01,-1.46E+00,-4.17E+01,4.61E+01
6.47E+00,1.87E+01,-2.81E+00,-4.44E+01,4.83E+01
6.49E+00,1.84E+01,-4.31E+00,-4.23E+01,4.63E+01
6.51E+00,1.80E+01,-3.87E+00,-4.31E+01,4.68E+01
6.53E+00,1.87E+01,-3.41E+00,-4.04E+01,4.46E+01
6.55E+00,1.83E+01,-2.51E+00,-4.41E+01,4.78E+01
6.57E+00,1.80E+01,-3.11E+00,-4.25E+01,4.62E+01
6.59E+00,2.01E+01,-3.41E+00,-4.35E+01,4.80E+01
6.61E+00,1.84E+01,-4.61E+00,-4.23E+01,4.64E+01
6.63E+00,1.72E+01,-3.41E+00,-4.31E+01,4.65E+01
6.65E+00,1.81E+01,-2.21E+00,-4.34E+01,4.70E+01
6.67E+00,1.84E+01,-3.26E+00,-4.10E+01,4.50E+01
6.69E+00,1.99E+01,-3.71E+00,-4.19E+01,4.65E+01
6.71E+00,1.95E+01,-3.26E+00,-4.26E+01,4.70E+01
6.73E+00,1.87E+01,-2.51E+00,-4.28E+01,4.67E+01
6.75E+00,1.92E+01,-3.71E+00,-4.34E+01,4.76E+01
6.77E+00,1.99E+01,-4.31E+00,-4.37E+01,4.82E+01
6.79E+00,1.96E+01,-3.87E+00,-4.41E+01,4.84E+01
6.81E+00,1.80E+01,-3.87E+00,-4.35E+01,4.72E+01
6.83E+00,2.04E+01,-3.87E+00,-4.49E+01,4.94E+01
6.85E+00,2.08E+01,-4.31E+00,-4.37E+01,4.86E+01
6.87E+00,2.14E+01,-3.41E+00,-4.35E+01,4.86E+01
6.89E+00,1.96E+01,-4.16E+00,-4.28E+01,4.72E+01
6.91E+00,1.96E+01,-2.81E+00,-4.22E+01,4.66E+01
6.93E+00,1.96E+01,-4.46E+00,-4.22E+01,4.67E+01
6.95E+00,2.08E+01,-4.31E+00,-4.43E+01,4.91E+01
6.97E+00,2.05E+01,-3.26E+00,-4.40E+01,4.86E+01
6.99E+00,1.96E+01,-4.16E+00,-4.25E+01,4.70E+01
7.01E+00,2.02E+01,-2.66E+00,-4.50E+01,4.94E+01
7.03E+00,1.83E+01,-3.41E+00,-4.44E+01,4.81E+01
7.05E+00,1.90E+01,-3.11E+00,-4.38E+01,4.79E+01
7.07E+00,2.13E+01,-3.71E+00,-4.40E+01,4.90E+01
7.09E+00,2.01E+01,-2.81E+00,-4.41E+01,4.85E+01
7.11E+00,1.89E+01,-3.71E+00,-4.50E+01,4.89E+01
7.13E+00,2.01E+01,-4.16E+00,-4.35E+01,4.81E+01
7.15E+00,2.02E+01,-5.06E+00,-4.34E+01,4.81E+01
7.17E+00,2.01E+01,-4.16E+00,-4.31E+01,4.77E+01
7.19E+00,1.99E+01,-4.31E+00,-4.37E+01,4.82E+01
7.21E+00,1.92E+01,-2.66E+00,-4.43E+01,4.83E+01
7.23E+00,2.02E+01,-2.66E+00,-4.26E+01,4.72E+01
7.25E+00,1.99E+01,-2.21E+00,-4.34E+01,4.78E+01
7.27E+00,1.90E+01,-3.87E+00,-4.41E+01,4.82E+01
7.29E+00,1.89E+01,-2.66E+00,-4.26E+01,4.67E+01
7.31E+00,1.87E+01,-2.06E+00,-4.17E+01,4.58E+01
7.33E+00,1.90E+01,-3.41E+00,-4.17E+01,4.60E+01
7.35E+00,1.90E+01,-3.41E+00,-4.38E+01,4.79E+01
7.37E+00,1.93E+01,-3.11E+00,-4.28E+01,4.70E+01
7.39E+00,1.71E+01,-5.65E-01,-4.16E+01,4.49E+01
7.41E+00,1.83E+01,-2.81E+00,-4.28E+01,4.66E+01
7.43E+00,1.96E+01,-1.76E+00,-4.41E+01,4.83E+01
7.45E+00,1.92E+01,-3.26E+00,-4.37E+01,4.78E+01
7.47E+00,1.72E+01,-1.76E+00,-4.17E+01,4.52E+01
7.49E+00,1.72E+01,-1.76E+00,-4.31E+01,4.64E+01
7.51E+00,1.78E+01,-8.64E-01,-4.29E+01,4.65E+01
7.53E+00,1.89E+01,-2.96E+00,-4.34E+01,4.74E+01
